"title","date","authors","authorTitles","topics","jel","abstract"
"Foreign Flows and Their Effects on Government of Canada Yields","November 2015","Bruno Feunou,Jean-Sébastien Fontaine,James Kyeong,Jesus Sierra","Senior Analyst – Financial Markets,Research Advisor – Financial Markets,Financial Markets,Financial Markets","International financial markets,International topics,Transmission of monetary policy","F,F3,F32","Foreign investment flows into Government of Canada (GoC) bonds have surged since the financial crisis. Our empirical analysis suggests that foreign flows of $150 billion lowered the 10-year GoC bond yield by 100 basis points between 2009 and 2012. In addition, foreign outflows largely accounted for the 70-basis-point rise in the 10-year yield around the U.S. “taper tantrum” in mid-2013. Our analysis suggests that foreign investment flows mostly reduced bond risk premiums rather than lowering expectations of future short-term interest rates."
"Estimating Canada’s Effective Lower Bound","December 2015","Jonathan Witmer,Jing Yang","Director – Financial Markets,Deputy Managing Director – Canadian Economic Analysis","Central bank research,Monetary policy framework,Monetary policy implementation","D,D5,D53,E,E4,E41,E43,E5,E58","In 2009, the Bank of Canada set its effective lower bound (ELB) at 25 basis points (bps). Given the recent experience of Sweden, Denmark, Switzerland and the euro area with negative interest rates, we examine the economics of negative interest rates and suggest that cash storage costs are the source of a negative lower bound on interest rates. European experience demonstrates that markets can adapt to challenges associated with negative interest rates. However, given uncertainty over the precise level of the lower bound, central banks should monitor both market functioning and the demand for cash in order to identify signals that policy rates are approaching their lower bound."
"Credit Cards: Disentangling the Dual Use of Borrowing and Spending","December 2015","Olga Bilyk,Brian Peterson","Economist – Financial Stability,Director – Financial Stability","Credit and credit aggregates,Financial stability","","Over the past 15 years, aggregate credit card balances have been increasing, except for a brief spell in the aftermath of the 2007–09 financial crisis. Determining whether the growing balances are due to increased usage of credit cards as a method of payment or whether they reflect increased short-term borrowing is challenging because aggregate balances are snapshots of charges on credit cards before households make their monthly payments. In this note, we exploit household-level survey data to distinguish between the dual use of credit cards for borrowing or paying for purchases.We find that the growth in credit card balances over the past 15 years reflects increased usage of credit cards for payment (i.e., spending) rather than increased short-term borrowing."
"The Case of Serial Disappointment","July 2016","Justin-Damien Guénette,Nicholas Labelle,Martin Leduc,Lori Rennison","Principal Economist – Advanced Economies Division,Senior Economist – Canadian Economic Analysis,NULL,Senior Policy Director – Canadian Economic Analysis","Business fluctuations and cycles,Domestic demand and components,Economic models,International topics,Potential output,Uncertainty and monetary policy","E,E2,E27,E6,E66,F,F0,F01","Similar to those of other forecasters, the Bank of Canada’s forecasts of global GDP growth have shown persistent negative errors over the past five years. This is in contrast to the pre-crisis period, when errors were consistently positive as global GDP surprised to the upside. All major regions have contributed to the forecast errors observed since 2011, although the United States has been the most persistent source of notable errors. In turn, the Bank of Canada’s gauge of foreign demand for Canadian exports—the foreign activity measure—has been continuously revised down. Average forecast errors for Canadian GDP growth are also negative over this period, particularly at the one-year-ahead horizon. The most important contributors to this unexpected weakness are exports and business fixed investment, the effects of which were only partly offset by positive surprises on housing. We find that the one-year-ahead export errors can be linked in part to the unanticipated weakness in US growth. Canadian competitiveness may also have been weaker than assumed. The errors on business investment correlate with measures of firm sentiment and uncertainty, as well as with deviations in oil prices from the view in the Bank’s baseline forecast. The possibility that a period of negative surprises in foreign and domestic output growth could continue over the coming years raises important questions for future study by central banks and policy-makers."
"Low for Longer? Why the Global Oil Market in 2014 Is Not Like 1986","July 2016","Bahattin Buyuksahin,Reinhard Ellwanger,Kun Mo,Konrad Zmitrowicz","NULL,NULL,Senior Economist – Emerging Markets Division,Director – Commodities Division","International topics,Recent economic and financial developments","E,E3,Q,Q4,Q41,Q43","In the second half of 2014, oil prices experienced a sharp decline, falling more than 50 per cent between June 2014 and January 2015. A cursory glance at this oil price crash suggests similarities to developments in 1986, when the price of oil declined by more than 50 per cent, initiating an episode of relatively low oil prices that lasted for more than a decade. This analytical note compares the 1986 price decline with the current episode more closely, and its key findings suggest important differences. While oil demand had been falling in the beginning of the 1980s, demand growth currently is being sustained by emerging economies and is projected to be more stable. Also, spare production capacity is significantly smaller today. Due to higher decline rates and shorter investment cycles of unconventional production, current supply is expected to adjust faster to low prices and reductions in investment spending. As long as oil demand from emerging economies remains robust, increases in production will require additional investment in high-cost production. The cost of this incremental production points to higher prices in the medium term than were observed in 2015, although the potential size of a price increase is limited because of ongoing cost-cutting initiatives and technological advances. Due to the fundamental changes in the oil market, it is unlikely that a decade of low oil prices—similar to the experience following the 1986 oil price crash—will repeat itself."
"Assessment of the Effects of Macroprudential Tightening in Canada","August 2016","Martin Kuncl","Senior Economist – Canadian Economic Analysis","Credit and credit aggregates,Financial system regulation and policies,Housing","C,C3,C32,E,E6,E65,G,G2,G28","During the period of 2008 to 2012, the rules for government-backed mortgage insurance were tightened on four occasions. In this note, we estimate the effects through a simple econometric exercise using a vector error-correction model (VECM). Both a descriptive analysis of the raw data and an event-study analysis based on the output from the VECM suggest that while the tightening of the mortgage rules contributed to slower growth of both credit and residential investment, the effects were not always immediate. In some episodes, a tightening was followed by a temporary increase in residential mortgage credit growth (a finding that persists even after controlling for other events in the economy), possibly in anticipation of additional tightenings. In the long run, however, the residential mortgage growth rate was reduced. The consequences of rule changes were more persistent for residential mortgage growth than for the more volatile residential investment growth."
"The Global Benefits of Low Oil Prices: More Than Meets the Eye","September 2016","Robert Fay,Justin-Damien Guénette,Louis Morel","Deputy Managing Director – International Economic Analysis,Principal Economist – Advanced Economies Division,Director – International Economic Analysis","Business fluctuations and cycles,International topics,Recent economic and financial developments","E,E3,E32,E37,F,F0,F01,Q,Q4,Q43","Between mid-2014 and early 2016, oil prices fell by roughly 65 per cent. This note documents the channels through which this oil price decline is expected to affect the global economy. One important and immediate channel is through higher expenditures, especially in net oil-importing countries. Although there is considerable uncertainty over the estimated impact, to date, these expenditures appear to have been small, because the response of investment in oil-producing countries has been negative, large and quick to materialize. This negative response has dominated the positive response of expenditures in oil-importing countries. It is also important, however, to consider how the oil price decline can improve private and public sector balance sheets, as it is expected to support private and public spending in future years. To this extent, global benefits go beyond what is captured in current GDP measures and, as such, there is more to this issue than meets the eye."
"A Primer on Neo-Fisherian Economics","September 2016","Robert Amano,Thomas J. Carter,Rhys R. Mendes","Senior Research Director – Canadian Economic Analysis,Senior economist – Canadian Economic Analysis,Managing Director – Executive","Central bank research,Economic models,Inflation and prices,Interest rates,Monetary policy framework,Transmission of monetary policy","E,E4,E5","Conventional models imply that central banks aiming to raise inflation should lower nominal rates and thus stimulate aggregate demand. However, several economists have recently challenged this conventional wisdom in favour of an alternative “neo-Fisherian’’ view under which higher nominal rates might in fact lead to higher inflation. In this note, we show that a simple New Keynesian model can indeed deliver a neo-Fisherian link from higher nominal rates to higher inflation. However, the conditions under which this link emerges include a configuration of fiscal and monetary policy, which departs substantially from the configuration normally assumed in the New Keynesian literature. In particular, this configuration involves a commitment that the central bank will not respond too aggressively if inflation is off target, in the sense that policy will be set in a manner inconsistent with the Taylor principle. Active use of inflation to manage real government debt would also be needed. We identify significant challenges associated with both these conditions and argue that they militate against policies that aim to exploit the neo-Fisherian mechanism."
"The Share of Systematic Variations in the Canadian Dollar—Part I","November 2016","Jean-Sébastien Fontaine,Guillaume Nolin","Research Advisor – Financial Markets,Principal Economist – Financial Markets","Exchange rates","F,F3,F31","In this analytical note we show that the share of the systematic variations in the Canadian dollar has risen significantly in the past two decades. Systematic variations in the exchange rate are shared with other currencies. This parallels the equity market, where variations in the price of a given stock are shared with variations in the prices of other stocks. In the simplest case—the capital asset pricing model—the amount of systematic variations is given by the covariance of this stock with the equity market index. In the context of currencies, exchange rate variations that are systematic originate from common international economic or financial conditions affecting all exchange rates. These systematic variations contrast with domestic changes in economic or financial conditions specific to one country and affecting only that country’s exchange rate. Separating systematic variations is useful and essential to identify the effect of domestic economic news or policy decisions on the exchange rate."
"Comparing Forward Guidance and Neo-Fisherianism as Strategies for Escaping Liquidity Traps","December 2016","Robert Amano,Thomas J. Carter,Rhys R. Mendes","Senior Research Director – Canadian Economic Analysis,Senior economist – Canadian Economic Analysis,Managing Director – Executive","Central bank research,Economic models,Inflation and prices,Interest rates,Monetary policy framework,Transmission of monetary policy","E,E4,E5","What path should policy-makers select for the nominal rate when faced with a liquidity trap during which the effective lower bound binds? Conventional wisdom has generally favoured a commitment to keep rates low for long, namely under the guise of forward guidance policies, while Cochrane (2016) and others have recently made the case for neo-Fisherian policies that involve pegging rates at a high level in the hopes that the Fisher effect might deliver higher inflation over time. We compare these two options as strategies for escaping liquidity traps and argue that their relative merits likely depend on the mechanism that initially gave rise to the particular trap in question. More specifically, we argue that policy-makers should distinguish between “shock-based” traps that arise following large, negative demand shocks (Eggertsson and Woodford 2003) and “expectation-based” traps that arise from self-fulfilling shifts in private sector expectations (Benhabib, Schmitt-Grohe and Uribe 2001). This is because forward guidance likely dominates in the former case, while the latter may favour neo-Fisherianism to the extent that keeping rates low for long might reinforce the pessimistic beliefs underlying expectation-based traps. Although empirical strategies for distinguishing between these two mechanisms would be a promising topic for future research, we conclude by arguing that the shock-based mechanism likely provides a more plausible explanation for the low inflation witnessed in many developed countries during and after the Great Recession."
